,subj,SubjRTmean,SubjRTZS,RTmark,SubjCA,CAmark
1,1,622,0.3, ,81.25, 
2,2,456,-0.6, ,85.4166666666667, 
3,3,300,-1.5, ,72.9166666666667, 
4,4,1134,3.1,*,80.2083333333333, 
5,5,916,1.9, ,82.2916666666667, 
6,6,775,1.1, ,85.4166666666667, 
7,7,615,0.2, ,72.9166666666667, 
8,8,568,0, ,71.875, 
9,9,546,-0.1, ,70.8333333333333, 
10,10,837,1.5, ,81.25, 
11,11,380,-1, ,72.9166666666667, 
12,12,377,-1.1, ,63.5416666666667,**
13,13,416,-0.8, ,81.25, 
14,14,464,-0.6, ,84.375, 
15,15,805,1.3, ,78.125, 
16,16,488,-0.5, ,80.2083333333333, 
17,17,744,0.9, ,80.2083333333333, 
18,18,458,-0.6, ,81.25, 
19,19,584,0.1, ,73.9583333333333, 
20,20,625,0.3, ,83.3333333333333, 
21,21,485,-0.5, ,79.1666666666667, 
22,22,754,1, ,89.5833333333333, 
23,23,527,-0.2, ,77.0833333333333, 
24,24,720,0.8, ,89.5833333333333, 
25,25,650,0.4, ,77.0833333333333, 
26,26,598,0.1, ,75, 
27,27,607,0.2, ,75, 
28,28,625,0.3, ,83.3333333333333, 
29,29,759,1, ,77.0833333333333, 
30,30,395,-1, ,73.9583333333333, 
31,31,558,-0.1, ,67.7083333333333,*
32,32,404,-0.9, ,65.625,**
33,33,382,-1, ,64.5833333333333,**
34,34,594,0.1, ,84.375, 
35,35,489,-0.4, ,80.2083333333333, 
36,36,590,0.1, ,84.375, 
37,37,534,-0.2, ,65.625,**
38,38,795,1.2, ,81.25, 
39,39,446,-0.7, ,64.5833333333333,**
40,40,421,-0.8, ,76.0416666666667, 
41,41,321,-1.4, ,65.625,**
42,42,535,-0.2, ,81.25, 
43,43,570,0, ,77.0833333333333, 
44,44,747,1, ,76.0416666666667, 
45,45,560,-0.1, ,83.3333333333333, 
46,46,406,-0.9, ,70.8333333333333, 
47,47,619,0.3, ,71.875, 
48,48,375,-1.1, ,63.5416666666667,**
49,49,326,-1.3, ,70.8333333333333, 
50,50,963,2.1, ,81.25, 
51,51,510,-0.3, ,81.25, 
52,52,372,-1.1, ,71.875, 
53,53,365,-1.1, ,47.9166666666667,**
54,54,772,1.1, ,80.2083333333333, 
55,55,1103,2.9,*,82.2916666666667, 
56,56,636,0.4, ,76.0416666666667, 
57,57,448,-0.7, ,70.8333333333333, 
58,58,609,0.2, ,81.25, 
59,59,507,-0.4, ,69.7916666666667,*
60,60,346,-1.2, ,70.8333333333333, 
61,61,366,-1.1, ,65.625,**
62,62,662,0.5, ,80.2083333333333, 
63,63,597,0.1, ,77.0833333333333, 
64,64,496,-0.4, ,76.0416666666667, 
65,65,622,0.3, ,79.1666666666667, 
66,66,484,-0.5, ,73.9583333333333, 
67,67,637,0.4, ,78.125, 
68,68,317,-1.4, ,78.125, 
69,69,359,-1.2, ,62.5,**
70,70,418,-0.8, ,67.7083333333333,*
71,71,500,-0.4, ,73.9583333333333, 
72,72,724,0.8, ,67.7083333333333,*
73,73,379,-1.1, ,77.0833333333333, 
74,74,678,0.6, ,83.3333333333333, 
75,75,982,2.2, ,72.9166666666667, 
76,76,795,1.2, ,75, 
77,77,436,-0.7, ,84.375, 
