,expt,subj,SubjExptCA
1,e,3,58.3333333333333
2,e,32,58.3333333333333
3,e,70,58.3333333333333
4,e,39,62.5
5,e,53,62.5
6,e,7,66.6666666666667
7,e,8,66.6666666666667
8,e,12,66.6666666666667
9,e,19,66.6666666666667
10,e,33,66.6666666666667
11,e,41,66.6666666666667
12,e,56,66.6666666666667
13,e,61,66.6666666666667
14,e,64,66.6666666666667
15,e,66,66.6666666666667
16,e,69,66.6666666666667
17,e,76,66.6666666666667
18,e,46,70.8333333333333
19,e,48,70.8333333333333
20,e,50,70.8333333333333
21,e,60,70.8333333333333
22,e,9,70.8333333333333
23,e,72,70.8333333333333
24,e,11,75
25,e,27,75
26,e,35,75
27,e,44,75
28,e,47,75
29,e,49,75
30,e,57,75
31,e,58,75
32,e,63,75
33,e,71,75
34,e,25,79.1666666666667
35,e,29,79.1666666666667
36,e,30,79.1666666666667
37,e,31,79.1666666666667
38,e,37,79.1666666666667
39,e,59,79.1666666666667
40,e,62,79.1666666666667
41,e,73,79.1666666666667
42,e,5,83.3333333333333
43,e,13,83.3333333333333
44,e,15,83.3333333333333
45,e,18,83.3333333333333
46,e,21,83.3333333333333
47,e,23,83.3333333333333
48,e,38,83.3333333333333
49,e,40,83.3333333333333
50,e,52,83.3333333333333
51,e,55,83.3333333333333
52,e,67,83.3333333333333
53,e,74,83.3333333333333
54,e,77,83.3333333333333
55,e,1,83.3333333333333
56,e,6,83.3333333333333
57,e,75,83.3333333333333
58,e,4,87.5
59,e,14,87.5
60,e,17,87.5
61,e,24,87.5
62,e,26,87.5
63,e,34,87.5
64,e,36,87.5
65,e,51,87.5
66,e,54,87.5
67,e,65,87.5
68,e,2,91.6666666666667
69,e,10,91.6666666666667
70,e,16,91.6666666666667
71,e,20,91.6666666666667
72,e,42,91.6666666666667
73,e,43,91.6666666666667
74,e,45,91.6666666666667
75,e,68,91.6666666666667
76,e,22,95.8333333333333
77,e,28,95.8333333333333
78,filler,53,43.75
79,filler,33,58.3333333333333
80,filler,37,60.4166666666667
81,filler,12,62.5
82,filler,39,62.5
83,filler,32,64.5833333333333
84,filler,41,64.5833333333333
85,filler,48,64.5833333333333
86,filler,31,66.6666666666667
87,filler,52,66.6666666666667
88,filler,61,66.6666666666667
89,filler,46,68.75
90,filler,59,68.75
91,filler,69,68.75
92,filler,72,68.75
93,filler,26,70.8333333333333
94,filler,40,70.8333333333333
95,filler,47,70.8333333333333
96,filler,75,70.8333333333333
97,filler,16,70.8333333333333
98,filler,19,70.8333333333333
99,filler,44,70.8333333333333
100,filler,49,70.8333333333333
101,filler,57,70.8333333333333
102,filler,60,70.8333333333333
103,filler,70,70.8333333333333
104,filler,3,72.9166666666667
105,filler,8,72.9166666666667
106,filler,9,72.9166666666667
107,filler,11,72.9166666666667
108,filler,30,72.9166666666667
109,filler,23,72.9166666666667
110,filler,4,75
111,filler,10,75
112,filler,68,75
113,filler,73,75
114,filler,27,77.0833333333333
115,filler,28,77.0833333333333
116,filler,43,77.0833333333333
117,filler,65,77.0833333333333
118,filler,71,77.0833333333333
119,filler,54,79.1666666666667
120,filler,66,79.1666666666667
121,filler,7,79.1666666666667
122,filler,18,79.1666666666667
123,filler,21,79.1666666666667
124,filler,29,79.1666666666667
125,filler,36,79.1666666666667
126,filler,56,79.1666666666667
127,filler,63,79.1666666666667
128,filler,20,81.25
129,filler,25,81.25
130,filler,35,81.25
131,filler,74,81.25
132,filler,76,81.25
133,filler,1,83.3333333333333
