,subj,SubjRTmean,SubjRTZS,RTmark,SubjCA,CAmark,age
1,1,694,0, ,87.5, ,42
2,2,456,-0.9, ,83.3333333333333, ,37
3,3,498,-0.7, ,81.9444444444444, ,50
4,4,712,0.1, ,83.3333333333333, ,29
5,5,588,-0.4, ,83.3333333333333, ,34
6,6,411,-1.1, ,88.8888888888889, ,40
7,7,601,-0.3, ,90.2777777777778, ,47
8,8,749,0.3, ,86.1111111111111, ,45
9,9,1032,1.4, ,86.1111111111111, ,46
10,10,526,-0.6, ,87.5, ,41
11,11,696,0.1, ,88.8888888888889, ,36
12,12,512,-0.7, ,84.7222222222222, ,30
13,13,679,0, ,90.2777777777778, ,30
14,14,623,-0.2, ,86.1111111111111, ,57
15,15,767,0.3, ,83.3333333333333, ,56
16,16,578,-0.4, ,87.5, ,44
17,17,130,-2.2, ,43.0555555555556,**,27
18,18,506,-0.7, ,79.1666666666667, ,24
19,19,473,-0.8, ,80.5555555555556, ,44
20,20,656,-0.1, ,87.5, ,35
21,21,382,-1.2, ,81.9444444444444, ,41
22,22,823,0.6, ,87.5, ,45
23,23,761,0.3, ,88.8888888888889, ,38
24,24,493,-0.8, ,63.8888888888889,**,59
25,25,902,0.9, ,86.1111111111111, ,34
26,26,595,-0.3, ,90.2777777777778, ,41
27,27,895,0.9, ,81.9444444444444, ,53
28,28,1275,2.4, ,94.4444444444444, ,48
29,29,675,0, ,80.5555555555556, ,36
30,30,683,0, ,83.3333333333333, ,35
31,31,492,-0.8, ,87.5, ,33
32,32,505,-0.7, ,80.5555555555556, ,31
33,33,826,0.6, ,86.1111111111111, ,49
34,34,901,0.9, ,79.1666666666667, ,55
35,35,1153,1.9, ,81.9444444444444, ,45
36,36,506,-0.7, ,84.7222222222222, ,27
37,37,740,0.2, ,88.8888888888889, ,47
38,38,375,-1.2, ,90.2777777777778, ,25
39,39,728,0.2, ,94.4444444444444, ,41
40,40,495,-0.7, ,84.7222222222222, ,34
41,41,1144,1.8, ,88.8888888888889, ,59
42,42,423,-1, ,72.2222222222222, ,27
43,43,643,-0.2, ,90.2777777777778, ,46
44,44,1145,1.9, ,75, ,31
45,45,927,1, ,86.1111111111111, ,42
46,46,599,-0.3, ,83.3333333333333, ,40
47,47,587,-0.4, ,81.9444444444444, ,47
48,48,498,-0.7, ,75, ,46
49,49,1096,1.7, ,86.1111111111111, ,45
50,50,489,-0.8, ,81.9444444444444, ,40
51,51,647,-0.1, ,81.9444444444444, ,44
52,52,707,0.1, ,81.9444444444444, ,42
53,53,468,-0.9, ,73.6111111111111, ,38
54,54,862,0.7, ,90.2777777777778, ,40
55,55,445,-0.9, ,81.9444444444444, ,34
56,56,470,-0.8, ,83.3333333333333, ,27
57,57,394,-1.2, ,83.3333333333333, ,23
58,58,647,-0.1, ,86.1111111111111, ,41
59,59,753,0.3, ,81.9444444444444, ,52
60,60,1312,2.5,*,83.3333333333333, ,39
61,61,582,-0.4, ,79.1666666666667, ,32
62,62,393,-1.2, ,73.6111111111111, ,22
63,63,593,-0.4, ,87.5, ,33
64,64,440,-1, ,76.3888888888889, ,26
65,65,580,-0.4, ,83.3333333333333, ,39
66,66,1279,2.4, ,87.5, ,40
67,67,681,0, ,80.5555555555556, ,35
68,68,694,0, ,87.5, ,39
69,69,545,-0.5, ,75, ,49
70,70,940,1, ,88.8888888888889, ,49
71,71,323,-1.4, ,75, ,55
72,72,909,0.9, ,87.5, ,49
73,73,1503,3.3,*,90.2777777777778, ,35
74,74,853,0.7, ,90.2777777777778, ,50
75,75,350,-1.3, ,83.3333333333333, ,23
76,76,535,-0.6, ,87.5, ,34
77,77,731,0.2, ,86.1111111111111, ,32
78,78,465,-0.9, ,91.6666666666667, ,42
79,79,619,-0.3, ,81.9444444444444, ,22
80,80,1234,2.2, ,76.3888888888889, ,36
81,81,953,1.1, ,84.7222222222222, ,34
82,82,699,0.1, ,86.1111111111111, ,37
83,83,925,1, ,88.8888888888889, ,42
84,84,458,-0.9, ,93.0555555555556, ,37
85,85,803,0.5, ,81.9444444444444, ,74
86,86,682,0, ,93.0555555555556, ,33
87,87,821,0.6, ,81.9444444444444, ,56
88,88,605,-0.3, ,81.9444444444444, ,35
89,89,652,-0.1, ,76.3888888888889, ,51
90,90,1011,1.3, ,87.5, ,51
91,91,761,0.3, ,83.3333333333333, ,33
92,92,921,1, ,80.5555555555556, ,37
93,93,1200,2.1, ,88.8888888888889, ,42
94,94,587,-0.4, ,90.2777777777778, ,41
95,95,768,0.3, ,83.3333333333333, ,32
96,96,882,0.8, ,70.8333333333333, ,48
97,97,754,0.3, ,84.7222222222222, ,42
98,98,1063,1.5, ,90.2777777777778, ,57
99,99,527,-0.6, ,84.7222222222222, ,34
100,100,326,-1.4, ,77.7777777777778, ,29
101,101,359,-1.3, ,63.8888888888889,**,43
102,102,716,0.1, ,81.9444444444444, ,27
103,103,431,-1, ,83.3333333333333, ,23
104,104,650,-0.1, ,88.8888888888889, ,37
105,105,916,0.9, ,86.1111111111111, ,58
106,106,720,0.2, ,93.0555555555556, ,37
107,107,754,0.3, ,87.5, ,35
108,108,668,-0.1, ,91.6666666666667, ,48
109,109,533,-0.6, ,86.1111111111111, ,36
110,110,300,-1.5, ,48.6111111111111,**,25
111,111,714,0.1, ,80.5555555555556, ,42
112,112,558,-0.5, ,87.5, ,28
113,113,487,-0.8, ,86.1111111111111, ,41
114,114,615,-0.3, ,88.8888888888889, ,31
115,115,90,-2.4, ,47.2222222222222,**,25
116,116,618,-0.3, ,81.9444444444444, ,46
