item,Sentence,,,,,
1,試合のあと 雪が しんしんと 道路に 降り積もったので 除雪車を 呼んだ。,,,,,
2,腕のいい コックが じゅうじゅうと 肉を 焼いたので 常連客は 期待した。,,,,,
3,5年かけて 女の子が こつこつ お年玉を 貯めたので 親戚たちは 感心した。,,,,,
4,夕方 雷が ごろごろ 向こうで 鳴ったので 停電が 心配だった。,,,,,
5,バックヤードで アルバイトが もくもくと 作業を 進めたので 休憩時間が 早まった。,,,,,
6,学芸会で 幼稚園児が 大声で 童謡を 歌ったので 近隣住人は 迷惑した。,,,,,
7,会議中 部下が 激しく 頼みを 拒否したので プロジェクトが 失敗した。,,,,,
8,昼下がり 力士が 一斉に 布団で 寝たので 館内は 静かだった。,,,,,
9,フロントで 観光客が 突然 一斉に 黙ったので ガイドは 不思議がった。,,,,,
10,早朝に 秘書が すばやく 名簿を 作ったので 会長は 助かった。,,,,,
11,事務員によると 社長の  トラックが 事故のため 故障して １ヶ月間 動かなかったらしい。,,,,,
12,入試担当者によると 数学教師が  受験生の 答案を ２日で 採点すると 約束したらしい。,,,,,
13,校長によると 見回りのため  用務員が 職員室の ドアを 夜中に 開けたらしい。,,,,,
14,付添人によると 担当医が  病室で 患者の タバコを 見つけて 叱ったらしい。,,,,,
15,村人によると 考古学者は  無断で 住人の 私有地を 重機で 掘り返したらしい。,,,,,
16,カメラマンによると 人気モデルの  真っ白な ドレスを 衣装係が コーヒーで 汚したそうだ。,,,,,
17,警察官によると サラリーマンの  大きな 傘が 女子高生に 思い切り ぶつかったらしい。,,,,,
18,警部補によると 昨日  強盗が 被害者の 青い ジャケットを 持ち去ったそうだ。,,,,,
19,取材記者によると 有名建築士は  大富豪の かわいい 娘のために リゾートホテルを 設計したそうだ。,,,,,
20,看護婦によると 研修医は  今朝 開業医の 高価な 腕時計に 驚いていたそうだ。,,,,,
21,観客によると 大物歌手が  大雪のため コンサートに １時間半 遅刻したことを 謝罪したそうだ。,,,,,
22,飼い主によると トレーナーが  公園で 飼い犬に 必死で おすわりを 教えたらしい。,,,,,
23,パート社員によると バイトが  新聞を ３０分で 配達したことを 周囲に 自慢したらしい。,,,,,
24,オーナーによると 改装のため  ３週間 ペンションを 休業することを 従業員が 喜んだらしい。,,,,,
25,野球部員によると コーチは  練習試合を 計画したが 試合相手が 決まらず 困ったらしい。,,,,,
26,受付係によると 有名女優は  婚姻届を 出すために 婚約者と 市役所に 来ていたらしい。,,,,,
27,保護者会によると 球児たちは  合宿先で 喫煙問題を 起こしたことを 学校で 報告したそうだ。,,,,,
28,宿泊客によると 昨晩  客室で 提供された 魚料理は 旅館で 好評だそうだ。,,,,,
29,教授によると 講義室で  授業中に 居眠りした 大学生が 試験で 高得点だったそうだ。,,,,,
30,現場監督によると 市街地で  ビルを 解体する 作業は 騒音対策が 必要だったそうだ。,,,,,
31,支店長は 欠勤している  銀行員の 様子を 係長に メールで 尋ねた。,,,,,
32,依頼人は 顔見知りの  配管工が トイレを やすやすと 直したことに 驚嘆した。,,,,,
33,派遣社員は 正社員が  昼休みに 豪華な 弁当を 食べていて 嫉妬した。,,,,,
34,国会議員は 秘書の  高級な 万年筆を 黙って 使ったことを 認めた。,,,,,
35,保育士は 幼児と  一緒に 紙芝居を 作ってほしいと 保護者に お願いした。,,,,,
36,主催者は 数時間前に  マラソン大会で 新記録を 叩き出した 走者を 讃えた。,,,,,
37,市長は 市民まつりに  住民が ２日間で 大勢 集まったことを 公表した。,,,,,
38,プログラマーは 買った  パソコンが １週間で 壊れたと 同僚に ぼやいた。,,,,,
39,刑事は 逮捕した  銀行強盗に 犯行理由を 半日以上 詰問したと 白状した。,,,,,
40,資産家は 日本庭園に  ツツジを 植えるように 庭師に 電話で 伝えた。,,,,,
41,病院で 血圧を  測定した 老人は 正常値より 低かったことに 驚いた。,,,,,
42,チアリーダーが ラグビーの  試合を 懸命に 応援したことを 応援団長が 褒めた。,,,,,
43,自衛隊が 誤って  発射した ミサイルは 小型だったと 防衛大臣が 報告した。,,,,,
44,数時間 屋上で  昼寝した 男子生徒は 学年主任に こっぴどく 怒られた。,,,,,
45,両親に 結婚したことを  女優が 明かしたと リポーターは テレビで 報道した。,,,,,
46,製品への 異物混入を  取締役が 隠蔽していると 社員が 新聞社に 密告した。,,,,,
47,外国で 集めた  資金を 投資家は 銀行に すぐに 預けた。,,,,,
48,出演者に 唐突に  叩かれた 司会者は すぐさま 収録現場から 逃げた。,,,,,
49,,,,,,
